,Best Picture,Certificate (GB),Certificate (US),Production Companies (1st),Title,IMDB Rating,genres,plot_keywords,genres_encoded,genres_decode,production_company_encoded,plot_keywords_encoded,plot_keywords_decode
0,,PG,PG,Zanuck/Brown Productions,Cocoon: The Return,5.4,"['Adventure', 'Comedy', 'Mystery', 'Romance', 'Sci-Fi']",['old'],[ 1  4 15 18 19],['Adventure' 'Comedy' 'Mystery' 'Romance' 'Sci-Fi'],8000,[61],['old']
1,,15,R,Columbia Pictures,Not Another Teen Movie,5.7,['Comedy'],['past'],[4],['Comedy'],2294,[63],['past']
2,,PG,PG-13,Metanoia Films,Bella,7.1,"['Drama', 'Romance']","['friend', 'day', 'mysterious', 'past']",[ 7 18],['Drama' 'Romance'],5286,[29 12 58 63],['friend' 'day' 'mysterious' 'past']
3,,,PG-13,Capstone Pictures,Local Boys,6.6,['Drama'],['new'],[7],['Drama'],1887,[59],['new']
4,,15,R,Biomorphs Inc.,Guyver: Dark Hero,5.8,"['Action', 'Horror', 'Sci-Fi', 'Thriller']","['discover', 'fight']",[ 0 12 19 21],['Action' 'Horror' 'Sci-Fi' 'Thriller'],1349,[15 24],['discover' 'fight']
5,,12,PG-13,New Line Cinema,The Guyver,4.9,"['Action', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']","['secret', 'begins', 'discovers', 'man', 'young']",[ 0  4 12 19 21],['Action' 'Comedy' 'Horror' 'Sci-Fi' 'Thriller'],5597,[73  2 16 53 99],['secret' 'begins' 'discovers' 'man' 'young']
6,,18,R,Overseas FilmGroup,Drive,6.6,"['Action', 'Adventure', 'Sci-Fi', 'Comedy']","['time', 'men', 'run']",[ 0  1 19  4],['Action' 'Adventure' 'Sci-Fi' 'Comedy'],5832,[84 55 70],['time' 'men' 'run']
7,,12,PG-13,Broadway Pictures,Black Sheep,6.2,['Comedy'],"['brother', 'make', 'job']",[4],['Comedy'],1651,[ 5 52 41],['brother' 'make' 'job']
8,,15,PG-13,Universal Pictures,Snow Falling on Cedars,6.7,"['Drama', 'Mystery', 'Romance', 'Thriller']",['american'],[ 7 15 18 21],['Drama' 'Mystery' 'Romance' 'Thriller'],7676,[1],['american']
9,,PG,PG,Dave Bell Associates,The Long Walk Home,7.3,"['Drama', 'History']",['women'],[ 7 11],['Drama' 'History'],2593,[93],['women']
10,,,PG-13,Addis Wechsler Pictures,The Journey of August King,6.5,['Drama'],"['turns', 'help', 'comes', 'journey', 'year', 'home', 'way', 'old']",[7],['Drama'],406,[88 36  8 42 96 38 90 61],['turns' 'help' 'comes' 'journey' 'year' 'home' 'way' 'old']
11,,15,TV-MA,House Of Tomorrow,Black Mirror: Bandersnatch,7.1,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",['young'],[ 7  9 15 19 21],['Drama' 'Fantasy' 'Mystery' 'Sci-Fi' 'Thriller'],4175,[99],['young']
12,,,Unrated,Beyond Infinity,Psychos in Love,5.6,"['Comedy', 'Horror']","['family', 'love', 'day']",[ 4 12],['Comedy' 'Horror'],1288,[22 51 12],['family' 'love' 'day']
13,,15,R,Orenda Films,The Search for One-eye Jimmy,6.0,['Comedy'],"['people', 'goes', 'film', 'old']",[4],['Comedy'],5801,[64 34 25 61],['people' 'goes' 'film' 'old']
14,,18,R,H&G Films Ltd.,FleshEater,4.8,['Horror'],"['lives', 'college', 'group', 'fight']",[12],['Horror'],3943,[46  7 35 24],['lives' 'college' 'group' 'fight']
15,,18,Not Rated,United Film Distribution Company (UFDC),Day of the Dead,7.1,"['Horror', 'Thriller']","['world', 'group']",[12 21],['Horror' 'Thriller'],7665,[95 35],['world' 'group']
16,,PG,PG,Hit Entertainment,The Secret Agent Club,3.4,"['Action', 'Comedy', 'Family']","['friends', 'high', 'returns', 'agent', 'son', 'years', 'wife', 'world', 'comes', 'secret']",[0 4 8],['Action' 'Comedy' 'Family'],4122,[30 37 69  0 76 97 91 95  8 73],"['friends' 'high' 'returns' 'agent' 'son' 'years' 'wife' 'world' 'comes'
 'secret']"
17,,12,Unrated,Why Not Productions,Jimmy P: Psychotherapy of a Plains Indian,6.1,"['Biography', 'Drama', 'Thriller']",['american'],[ 3  7 21],['Biography' 'Drama' 'Thriller'],7881,[1],['american']
18,,15,R,Front Films,Tapeheads,5.7,"['Comedy', 'Music']",['couple'],[ 4 13],['Comedy' 'Music'],3580,[9],['couple']
19,,18,Not Rated,Albright/Platt Films,Luther the Geek,5.2,"['Comedy', 'Horror']","['takes', 'prison', 'killer', 'years', 'goes']",[ 4 12],['Comedy' 'Horror'],457,[81 66 44 97 34],['takes' 'prison' 'killer' 'years' 'goes']
20,,12,PG-13,Permut Presentations,Eddie,5.2,"['Comedy', 'Sport']","['york', 'new']",[ 4 20],['Comedy' 'Sport'],6001,[98 59],['york' 'new']
21,,15,R,Golan-Globus Productions,Maria's Lovers,6.6,"['Drama', 'Romance']","['returns', 'love', 'home', 'friend']",[ 7 18],['Drama' 'Romance'],3771,[69 51 38 29],['returns' 'love' 'home' 'friend']
22,,PG,Not Rated,Four Square Productions,Killer Tomatoes Strike Back!,3.7,['Comedy'],"['stop', 'team', 'police', 'world']",[4],['Comedy'],3524,[78 82 65 95],['stop' 'team' 'police' 'world']
23,,12,PG-13,Universal Pictures,Little,5.5,"['Comedy', 'Fantasy', 'Romance']","['life', 'woman']",[ 4  9 18],['Comedy' 'Fantasy' 'Romance'],7676,[45 92],['life' 'woman']
24,,15,PG-13,Hammerstone Studios,The Public,6.6,['Drama'],"['police', 'people', 'turns']",[7],['Drama'],3990,[65 64 88],['police' 'people' 'turns']
25,,PG,PG,Working Title Films,Cats,2.8,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']","['life', 'new']",[ 4  7  8  9 14],['Comedy' 'Drama' 'Family' 'Fantasy' 'Musical'],7952,[45 59],['life' 'new']
26,,15,Not Rated,Bonfire Films of America,Kurt Cobain About a Son,7.2,"['Documentary', 'Music']",['documentary'],[ 6 13],['Documentary' 'Music'],1527,[17],['documentary']
27,,12,PG-13,Screen Gems,Dear John,6.3,"['Drama', 'Romance', 'War']","['student', 'falls', 'college', 'home']",[ 7 18 22],['Drama' 'Romance' 'War'],6721,[80 21  7 38],['student' 'falls' 'college' 'home']
28,,18,R,Twentieth Century Fox,Off Limits,6.2,"['Action', 'Drama', 'Thriller', 'War']","['local', 'war', 'high', 'world', 'lives', 'job', 'time']",[ 0  7 21 22],['Action' 'Drama' 'Thriller' 'War'],7610,[48 89 37 95 46 41 84],['local' 'war' 'high' 'world' 'lives' 'job' 'time']
29,,12,PG-13,Lakeshore Entertainment,The Next Best Thing,4.7,"['Comedy', 'Drama', 'Romance']","['night', 'friend']",[ 4  7 18],['Comedy' 'Drama' 'Romance'],4719,[60 29],['night' 'friend']
30,,12,PG-13,Great American Films Limited Partnership,Dirty Dancing,7.0,"['Drama', 'Music', 'Romance']","['falls', 'family', 'love']",[ 7 13 18],['Drama' 'Music' 'Romance'],3867,[21 22 51],['falls' 'family' 'love']
31,,12,PG-13,Warner Bros.,Singles,6.7,"['Comedy', 'Drama', 'Music', 'Romance']","['friends', 'group', 'love']",[ 4  7 13 18],['Comedy' 'Drama' 'Music' 'Romance'],7819,[30 35 51],['friends' 'group' 'love']
